"id"	"Q1"	"Q2"	"Q3"	"Q4"	"Q5"	"Q6"	"title"	"abstract"	"doi"
"abs12705"	"1"	"4,5"	""	"0"	""	"0"	"Refugees at the Gates of the EU: Civic Initiatives and Grassroots Responses to the Refugee Crisis along the Western Balkans Route"	"The countries of former Yugoslavia have a long history of dealing with refugees. However, what had been termed in the media and in public discourse as the '2015-2016 European migrant crisis' represented a phenomenon of unprecedented scale for the Western Balkan states. For the first time since the break-up of Yugoslavia, these countries found themselves handling a steep increase in arrivals of migrants who fled from the Middle East and Africa and crossed the Western Balkans migratory route in an attempt to reach Northern and Central Europe. To compensate for the lack of action on the part of their governments, from summer 2015 a number of individuals and domestic groups mobilized with the purpose of providing humanitarian assistance to migrants crossing their territory. Based on a series of in-depth interviews with key informants, this article explores the multiple solidarity initiatives organized at the local and transnational level along the Western Balkans route during the 2015-2016 migrant crisis, taking Serbia and Macedonia as case studies. Specifically, the study examines the extent to which emotional resources and discursive opportunities increased the prospects for altruistic mobilization in a context characterized by a low level of grassroots civic activism."	"10.1080/19448953.2018.1532686"
"abs21113"	"0"	""	""	""	""	"1"	"Meaningful Work and Satisfaction with Life: A Case Study from a Supported Employment Program-Colombia"	"Work helps to satisfy instrumental and transcendental needs. For people affected by armed conflict, work has an additional value because it helps them overcome the social disadvantage they suffer; however, topics such as meaningful work-MW-have been poorly studied in this type of population. Based on the above, we propose to analyze the relationship between meaningful work and satisfaction with life in one of the largest private supported employment programs for people involved in the armed conflict in Colombia. To this end, a nonexperimental, quantitative case study was conducted with 62 employees of that employment program. To collect the data, a survey with two measurement scales was administered: Work as Meaning Inventory and Satisfaction with Life Scale. Sociodemographic variables were also obtained. The results demonstrate that meaningful work has a significant effect on satisfaction with life (R-2 = 0.28, p < 0.00). We conclude that having meaningful work that provides a sense of belonging, interpersonal connection, and attachment generates greater satisfaction with life in the workers involved in the analyzed program. We also discuss the implications of this research for companies and public policy in Colombia."	"10.3390/bs12070229"
"abs16410"	"1"	"4"	""	"0"	""	"0"	"Migration and women's health"	"Women have been migrating at similar rates to men for the past 40 years, and comprised about half of all migrants in 2005. Women and children are most affected by displacement as a result of wars and human trafficking. In some cases, the health of female migrants is improved via integration into better health systems in the host country. More often, however, the health of female migrants is affected negatively. Women are doubly disadvantaged because they are discriminated against as women and as migrants. Female migrants are also highly vulnerable to acts of sexual abuse, rape, and violence. This is especially true for women in refugee camps, whose reproductive health needs are often overlooked. To improve the health of female migrants it is important to develop and implement policies that recognize and insist on the respect of the rights of migrants. (c) 2009 International Federation of Gynecology and Obstetrics. Published by Elsevier Ireland Ltd. All rights reserved."	"10.1016/j.ijgo.2009.03.036"
"abs09174"	"1"	""	""	"0"	""	"0"	"What's in a Handshake? Multi-Faith Practice as a Starting Point for Christian Migration Ethics"	"This article assesses the tension between cosmopolitan and communitarian approaches to the ethics of migration by analysing how the Protestant Church in Germany (EKD) has responded to the current so-called migration crisis in Europe. I argue that the statements of the EKD frame people on the move either as migrants or as Muslims. These frames come with competing ethical consequences. Whereas migrants are presented as passive victims in need of some form of support by Christians, Muslims are presented as active victimisers in need of some form of suppression by Christians. However, when the then chairman of the EKD shook hands with people on the move who were arriving at Munich station in the summer of 2015, the surplus of meaning communicated in this encounter demonstrated that these people cannot be reduced to their respective framing, thus resisting the construction of both the cosmopolitan migrant frame and the communitarian Muslim frame. Accordingly, I advocate for a re-conceptualisation of the theological ethics of migration which takes multi-faith practices, such as these handshakes, as a point of departure."	"10.1177/09539468221090401"
"abs18714"	"1"	""	"1"	"0"	"1"	"0"	"Right-wing populist affective governing: a frame analysis of Austrian parliamentary debates on migration"	"In the aftermath of the 'summer of migration' of 2015, right-wing populist discourses became increasingly commonplace. This article by Thiele, Sauer and Penz investigates the resurgence of nativist and anti-migration attitudes in Austria by focusing on parliamentary debates between 2015 and 2019 concerned with migration, asylum policies and integration measures. Their theoretical approach builds first on Cas Mudde's conception of right-wing populism-which proceeds from the premise of corrupt 'elites' and threatening Others-and then combines it with theories on the politics of emotion and affects. By employing a critical affective frame analysis, the study examines how right-wing populist arguments by political actors are always intertwined with affects, like anger, fear and hope, in order to mobilize followers and voters. They regard these connections as governing strategy aiming at right-wing exclusion, a mode of governing through affects, which tends to change the affective atmosphere in Austria, that is, what is conceivable, speakable and feelable with regard to migration and refugees. As it turns out, not only the notorious Freedom Party (FPo) (with a longstanding far-right tradition) but also the refurbished People's Party (oVP) under their new leader Sebastian Kurz, draw on discourses that are exclusionary as well as affective, encouraging the Austrian population rather to fear migrants and to feel anger, in order to mobilize them against threatening 'migration waves' and 'illegal immigration'."	"10.1080/0031322X.2021.2014089"
"abs18822"	"1"	""	"2"	"17"	"1"	"0"	"HIV, Population Mobility, and the Post-Conflict Nexus: Unpacking Complexity"	"As with many issues associated with the movement of people, linkages between mobility, HIV, conflict and post-conflict settings have often been based on conjecture rather than fact. Conflict was assumed to increase transmission of HIV, and displaced populations, refugees and armed forces were presumed to have higher HIV prevalence than host communities. However, recent evidence challenges these assumptions. This article explores the complex relationship between HIV and post-conflict settings, and considers if and how migrants and mobile populations - including returning refugees - are at increased risk of HIV acquisition in post-conflict settings."	"10.1080/13533312.2013.846135"
"abs02393"	"0"	""	""	""	"0"	"1"	"Buttock tissue response to loading in men with spinal cord injury"	"Objective/Background Despite the fact that most people with a spinal cord injury who use a wheelchair for mobility are considered at-risk for pressure ulcer (PrU) development, there still exists a spectrum of risk amongst this group. Efforts to differentiate risk level would benefit from clinical tools that can measure or predict the buttocks response to loading. Therefore, the goal of this study was to identify how tissue compliance and blood flow were impacted by clinically-measurable risk factors in young men with SCI. Methods Blood flow at the ischial tuberosity was measured using laser Doppler flowmetry while the seated buttock was unloaded, and loaded at lower (40-60 mmHg) and high (>200 mmHg) loads. Tissue compliance of the buttock was measured using the Myotonometer while subject were lifted in a Guldmann Net. Results Across 28 participants, blood flow was significantly reduced at high loads, while no consistent, significant changes were found at lower loads. At 40-60 mmHg, blood flow decreased in participants with a pressure ulcer history and lower BMI, but stayed the same or increased in most other participants. The buttock displaced an average of 9.3 mm (2.7 mm) at 4.2 N, which represented 82% (7%) of maximum displacement. BMI was related to the amount of buttock tissue displacement while smoking status explained some of the variation in the percent of max displacement. Conclusion Wide variability in tissue compliance and blood flow responses across a relatively homogeneous population indicate that differences in biomechanical risk may provide an explanation for the spectrum of PrU risk among persons with SCI."	"10.1371/journal.pone.0191868"
"abs21100"	"1"	"4"	""	"0"	""	"0"	"Developing a sexual and reproductive health educational intervention for adolescent Syrian refugee girls: Challenges and lessons learned"	"In Lebanon, a country with the highest per capita refugee population in the world, roughly one in four persons is forcibly displaced. Early marriage is highly prevalent among Syrian refugees in Lebanon and qualitative studies suggest an unmet need for sexual and reproductive health (SRH) information and services in this community. Adolescent Syrian refugee girls in Lebanon are a vulnerable population at risk of negative SRH outcomes related to early sexual debut, which occurs primarily in the context of early marriage. Despite this need, cultural norms and gender roles generally restrict adolescent girls' access to SRH resources. To address this need for comprehensive sexuality education, our team developed a novel, rights-based, peer-led, adolescent SRH educational curriculum that is specific to the context of Syrian displacement in Lebanon. This curriculum was developed to be administered as part of Project Amenah, a community-based, multi-component intervention that aims to reduce early marriage and improve SRH among adolescent Syrian refugee girls displaced in Lebanon. The curriculum, which features eight discreet age-appropriate units, is based on extensive formative work conducted in this community, as well as adaptations of early marriage programs implemented in low-resource settings elsewhere. Topics covered include, but are not limited to, gender and human rights, communication, negotiation and decision-making, reproductive anatomy, puberty and menstruation, sexually transmitted infections, family planning and modern contraception, and adolescent pregnancy. We encountered several challenges when developing this curriculum, including those related to community acceptability, varying levels of literacy levels among participants, and limited engagement with married adolescents, who may experience mobility restrictions that preclude their participation. We recommend that investigators developing adolescent SRH interventions in similar settings utilize a behavior-determinant-intervention logic model to guide their study design, elucidate community priorities and capacity by conducting preliminary qualitative work and assembling a community advisory board, and follow a peer-led model, which has shown to be effective for adolescent SRH interventions."	"10.3389/frph.2022.780157"
"abs17097"	"1"	""	"2"	"0"	"1"	"1"	"Data-driven Mobility Analysis and Modeling: Typical and Confined Life of a Metropolitan Population"	"The idea of using mobile phone data to understand the impact of the Covid-19 pandemic and that of the sanitary constraints associated with it on human mobility imposed itself as evidence in most countries. This work uses spatiotemporal aggregated mobile phone data provided by a major French telecom operator, covering a geographical region centered on Paris for early 2020, i.e., periods before and during the first French lockdown. An essential property of this data is its fine-grained spatial resolution, which, to the best of our knowledge, is unique in the COVID-related mobility literature. Contrarily to regions or country-wide resolution, it describes population mobility flows among zones ranging from 0.025 km2 to 5.40 km2, corresponding to 326 aggregated zones over the total area of 93.76 km2 of the city of Paris. We perform a data-driven mobility investigation and modeling to quantify (in space and time) the population attendance and visiting flows in different urban areas. Second, when looking at periods both before and during the lockdown, we quantify the consequences of mobility restrictions and decisions on an urban scale. For this, per zone, we define a so-called signature, which captures behaviors in terms of population attendance in the corresponding geographical region (i.e., their land use) and allows us to automatically detect activity, residential, and outlier areas. We then study three different types of graph centrality, quantifying the importance of each zone in a time-dependent weighted graph according to the habits in the mobility of the population. Combining the three centrality measures, we compute per zone of the city, its impact-factor, and employ it to quantify the global importance of zones according to the population mobility. Our results firstly reveal the population's daily zone preferences in terms of attendance and mobility, with a high concentration on business and touristic zones. Second, results show that the lockdown mobility restrictions significantly reduced visitation and attendance patterns on zones, mainly in central Paris, and considerably changed the mobility habits of the population. As a side effect, most zones identified as mainly having activity-related population attendance in typical periods became residential-related zones during the lockdown, turning the entire city into a residential-like area. Shorter distance displacement restrictions imposed by the lockdown increased visitation to more local zones, i.e., close to the population's primary residence. Decentralization was also favored by the paths preferences of the still-moving population. On the other side, jogging activities allowing people to be outside their residences impacted parks visitation, increasing their visitation during the lockdown. By combining the impact factor and the signatures of the zones, we notice that areas with a higher impact factor are more likely to maintain regular land use during the lockdown."	"10.1145/3517222"
"abs19131"	"1"	""	""	"0"	""	"0"	"Strands of Diaspora: The Resettlement Experience of Jewish Immigrants to Australia"	"While in contemporary usage the term 'diaspora' is often construed to denote any deterritorialised or transnational population, it most meaningfully refers to dispersal and resettlement of a population elsewhere. Jews are a prime example of such a diaspora. While in the Australian context, Jewish immigrants have many of the middle class and disproportionately professional occupational backgrounds of transnationals, most Australian Jewish immigrants seek permanent resettlement. The surge of Jewish migrants in the past half century has produced a people less assimilated than integrated, part of Australia's economic, political and social life while conscious of themselves as a community bound together by a common religious tradition, with Zionism - support for Israel - an important element of their lived experience and of the diasporic tradition."	"10.1007/s12134-014-0370-4"
"abs03434"	"0"	""	""	""	"0"	"0"	"Methodological Difficulties in the Conduct of Neuroepidemiological Studies in Low- and Middle-Income Countries"	"Background:The majority of people with epilepsy (PWE) live in low- and middle-income countries (LMICs). However, they remain largely untreated and the bulk of resources are used to treat patients in the developed world. This disparity constitutes a challenge for neuroepidemiological studies on a global scale. In the past, several studies have focused on diverse populations in disparate countries at various periods of time and for particular purposes. The specificity of different contexts and circumstances makes it difficult to analyse PWE as a group either qualitatively or quantitatively. Such methodological limitations are further complicated by a lack of logistical support. There is a lack of interest in conducting studies, which results in inadequate funding and, in addition, there is the considerable challenge of publishing research reports from LMICs in peer-reviewed international journals. Methods: This paper focuses on methodological problems related to studies in LMICs and attempts to give the reasons for their limitations using epilepsy as an example. Results: Regional conditions and environmental factors must be given careful consideration in the research design because of the importance of understanding the challenges of living in these environments. There are further limitations to the successful implementation of studies. Existing information on epilepsy is often not readily accessible; there is a lack of census data, and migratory patterns into cities make enumeration and sampling even more challenging. As there is usually no well-developed healthcare system a door-to-door screening process is often the only way to identify those with convulsive epilepsy. The questionnaire and study design should preferably be adapted from standardized protocols, and pretested and validated in local conditions. Conclusions: Systematic reviews and meta-analyses of studies in LMICs can provide data on the burden, risk factors, treatment and outcome of epilepsy only if the primary studies used are properly conducted using uniform and comparable methodology. The use of consistent replicable neuroepidemiological methods in primary studies and systematic reviews enable reduction of the treatment gap and better epilepsy care. (C) 2013 S. Karger AG, Basel"	"10.1159/000355921"
"abs01056"	"0"	""	""	""	"1"	"1"	"Realizing proximity in times of deregulation and densification: Evaluating urban change from a welfare regime perspective"	"We evaluate changes in proximity (in terms of walkability) to essential services in the city region of Gothenburg, Sweden, 1994-2014, when sustainability policy goals were set to promote urban densification and non-motorized mobility. Simultaneously, public services were deregulated, reducing political capacity to control their accessibility. Considering this tension and welfare regime theory, we investigate to what extent typically regulated and deregulated services (libraries, pharmacies, primary schools, and grocery stores) have come closer to the population in areas of different densities and centralities. We draw on unique micro-level data comprising the detailed locations of population and services analyzed using decomposition. Results indicate that services the most (libraries) and least (grocery stores) controlled by public policy decreased in proximity. In contrast, recently deregulated services (pharmacies and primary schools) became more accessible by foot due to disruptive market change. While population relocation reduced the proportion of people living near the services, the changing geography of amenities was a more important driver of proximity change. We argue that sustainability goals to realize proximity have far-reaching repercussions for urban governance, emphasizing the need to assess proximity changes at detailed scale levels."	"10.1016/j.jtrangeo.2021.103098"
"abs20782"	"0"	""	""	""	"1"	"1"	"Research into health, population and social transitions in rural South Africa: Data and methods of the agincourt health and demographic surveillance system"	"Rationale for study: Vital registration is generally lacking in infrastructurally weak areas where health and development problems are most pressing. Health and demographic surveillance is a response to the lack of a valid information base that can provide high-quality longitudinal data on population dynamics, health, and social change to inform policy and practice. Design and measurement procedures: Continuous demographic monitoring of an entire geographically defined population involves a multi-round, prospective community study, with annual recording of all vital events (births, deaths, migrations). Status observations and special modules add value to particular research areas. A verbal autopsy is conducted on every death to determine its probable cause. A geographic surveillance system supports spatial analyses, and strengthens field management. Population and sample size considerations: Health and demographic surveillance covers the Agincourt sub-district population, sited in rural north-eastern South Africa, of some 70,000 people (nearly a third are Mozambican immigrants) in 21 villages and 11,700 households. Data enumerated are consistent or more detailed when compared with national sources; strategies to improve incomplete data, such as counts of perinatal deaths, have been introduced with positive effect. Basic characteristics: A major health and demographic transition was documented over a 12-year period with marked changes in population structure, escalating mortality, declining fertility, and high levels of temporary migration increasing particularly amongst women. A dual burden of infectious and non-communicable disease exists against a background of dramatically progressing HIV/AIDS. Potential and research questions: Health and demographic surveillance sites - fundamental to the INDEPTH Network - generate research questions and hypotheses from empirical data, highlight health, social and population priorities, provide cost-effective support for diverse study designs, and track population change and the impact of interventions over time."	"10.1080/14034950701505031"
"abs14929"	"1"	"4"	""	""	""	"1"	"A Study of Maintaining and Improving the WASH Services Provided by Local and International Agencies in Selected Refugee Camps in Kurdistan Region, IRAQ"	"Hosting a massive number of refugee in Kurdistan Region of Iraq which is above 2 million people in both category of internal displaced people and refugees, while the technical and economical capacities of the local government are limited which results the provision of water, sanitation and hygiene challenging for both local people and the surrounding environment. The aim of this research is benchmarking the current WASH services in the existing refugee camps, identifying the major difficulties within WASH service provision and highlighting the impact of current WASH practices on physical environment. The intervention of this research includes the camps in both Erbil and Sulaimanyah provinces of Iraqi-Kurdistan. The international and local agencies have been evaluated regarding WASH services provision in selected refugee camps. Detailed interviews were conducted with 6 service provision agencies' representatives to record their approaches while, questionnaire was administered among 395 refugees in addition with personal observation to determine at what extend the services are adequate and sustainable. It has been observed that both local and international organizations claimed to have sufficient WASH services but on ground, there are big challenges facing the process of WASH service provision. In general, it has been found that, most of the service providers are not concern with environmental risks which may cause by lack of sufficient WASH services.. There are several environmental issues in the camps, including lowering groundwater table, and increasing soil pollution as a result of unmanaged wastewater disposal and Excreta management. Public health problems in the camps are due to dispose black water into the pits while the groundwater is the main water supply source in the refugee camp."	"10.14207/ejsd.2016.v5n3p68"
"abs05254"	"0"	""	""	""	"0"	"1"	"TRENDS IN CANCER MORTALITY AMONG PUERTO-RICAN BORN MIGRANTS TO NEW-YORK-CITY"	"Age standardized cancer death rates in Puerto Rican-born males and females residing in New York City have been calculated for 1979-81, and compared with those for white non-Puerto Rican-born people. For all population groups the rates in 1979-81 have been compared with rates in 1969-71. For some cancer sites, in particular cancers of the lung, breast and ovary, the Puerto Rican migrant populations exhibited rates well below those of other residents of New York at both time periods. For other sites, most notably colon cancer (and to a lesser extent, prostate and bladder cancer), the rates for Puerto Ricans were somewhat lower than those of other New Yorkers in 1979-81, but had very markedly increased from levels shown in earlier period. The Puerto Rican-born population at each time period had considerably higher rates of stomach cancer and cervical cancer than did other white New Yorkers. Although substantial reductions in risk for these sites occurred among Puerto Ricans during the intercensal period examined, these corresponded to the reductions among other white New York residents. The trends are discussed with reference to differences in lifestyle patterns, especially diet."	"10.1093/ije/15.1.30"
"abs19490"	"1"	""	"1"	"0"	"1"	"1"	"Exploring Social and Geographical Trajectories of Latin Americans in Sweden"	"Close to 20 percent of the Swedish population are of immigrant origin; one in eight is foreign-born. About 45 percent of all immigrants originate from outside Europe and most of these have entered the country as refugees or relatives of refugees. Issues connected to immigration, including the number of immigrants, settlement patterns and level of social integration of ethnic minorities, have been much discussed in Sweden in recent decades. This paper focuses on the integration of Latin American immigrants in Sweden. It compares the level of integration - measured as educational achievement, labour market participation, income and housing - experienced by first and second generation migrants. I use register information allowing me to include all 1(st) and 2(nd) generation Latin Americans that have lived in Sweden between 1990 and 2006 (in total 127,000 individuals). Data are longitudinal, which means that individuals can be followed over time. I make use of the longitudinal material in order to study changes in residential patterns and in attempts to explain educational and employment outcomes for second generation Latin Americans. The general conclusion of the paper is that in terms of integration, LAC immigrants have an intermediate position compared to other immigrant categories; they are often better off than people from Africa and the Middle East but clearly below the level experienced by some other migrants, especially those from Western Europe. This cannot be explained by level of education. The average level of education is high for first generation immigrants from LA countries. For many people, the level of labour market participation and income increase over time but one important result of this analysis is that second generation Latin Americans seem to do less well in Sweden compared to many other second generation migrants."	"10.1111/j.1468-2435.2010.00679.x"
