Q1,Q2,Q3,Q4,Q5,Q6,id
[1],[2],[0],[3],[1],[1] ,abs10356
[0],[],[],[],[1],[1] ,abs22219
[0],[],[],[],[],[1] ,abs16838
[1],[4 5],[1],[0],[1],[0] ,abs13285
[1],[5],[1],[0],[1],[1] ,abs12448
[0],[],[],[],[1],[1] ,abs03176
[1],[6],[],[0],[1],[1] ,abs01700
[0],[],[],[],[1],[1] ,abs01506
[1],[2],[],[3],[],[1] ,abs18617
1,3,2,0,1,1 ,abs03842
1,4 5,1,0,1,1 ,abs19254
[0],[],[],[],[],[0] ,abs16348
[1],[4 5],[1],[0],[1],[0] ,abs12100
[0],[],[],[],[],[0] ,abs12823
[1],[6],[2],[0],[1],[1] ,abs17348
[1],[6],[],[0],[],[1] ,abs19134
[1],[4 5 6],[],[0],[],[0] ,abs08077
[1],[6],[],[3],[1],[1] ,abs20517
[1],[3 6],[],[3],[1],[1] ,abs10682
[1],[6],[2],[0],[],[1] ,abs02611
[1],[6],[],[0],[],[0] ,abs10507
[1],[6],[2],[0],[1],[1] ,abs01797
[0],[],[],[],[1],[1] ,abs00965
[1],[1 2],[],[26],[1],[0] ,abs13510
[1],[4 5 6],[2],[0],[1],[0] ,abs09344
[1],[4 5],[2],[0],[],[0] ,abs08252
[1],[4 5 6],[],[0],[],[1] ,abs07495
[1],[2 3],[2],[12],[1],[1] ,abs20401
1,[4 5 6],2,[0],1,1 ,abs06092
[1],[6],[1],[0],[],[0] ,abs05598
[1],[6],[2],[0],[1],[1] ,abs10354
[1],[2],[],[0],[],[1] ,abs17646
[1],[6],[2],[0],[],[0] ,abs10906
[1],[6],[2],[0],[1],[1] ,abs03287
[1],[6],[],[0],[],[1] ,abs02278
[1],[4 5 6],[2],[0],[],[1] ,abs01444
[1],[4 5],[],[0],[1],[1] ,abs08829
[0],[],[],[],[1],[1] ,abs04391
1,[3],2,[0],1,1 ,abs20250
[1],[6],[2],[0],[1],[1] ,abs22104
[1],[6],[],[0],[1],[1] ,abs08181
1,2,2,0,1,1 ,abs01269
1,[3 6],[],[0],1,1 ,abs17643
1,6,2,[],1,1 ,abs21607
[1],[4],[1],[3],[1],[1] ,abs21104
[1],[4 5 6],[],[0],[],[0] ,abs08467
[1],[6],[2],[3],[],[0] ,abs20265
[1],[6],[1],[0],[],[0] ,abs18962
[1],[2],[2],[3],[1],[1] ,abs09965
[1],[4 5 6],[],[8],[],[0] ,abs13608
[1],[6],[2],[0],[],[0] ,abs11355
[1],[4 5],[1],[0],[],[0] ,abs08206
[1],[4 5],[1],[0],[],[0] ,abs19944
[1],[6],[2],[0],[1],[1] ,abs13965
[1],[6],[2],[0],[],[0] ,abs14984
[0],[],[],[],[],[1] ,abs02026
[1],[2 3],[],[0],[],[1] ,abs20304
[1],[5 6],[1],[0],[1],[1] ,abs09230
[1],[6],[2],[0],[1],[1] ,abs21955
[0],[],[],[],[1],[1] ,abs14211
[1],[2],[],[7],[],[1] ,abs05184
[0],[],[],[],[],[1] ,abs01463
[1],[2],[2],[0],[1],[1] ,abs16974
[1],[6 7],[2],[3],[],[0] ,abs20868
[1],[3],[2],[3],[1],[1] ,abs13724
[1],[2],[],[3],[1],[1] ,abs17121
[1],[3 5],[1],[0],[1],[0] ,abs19487
[1],[3 6],[2],[3],[1],[1] ,abs18894
[0],[4 5 6],[2],[0],[1],[0] ,abs12750
1,6,2,0,1,1 ,abs13675
[1],[2],[],[10],[],[1] ,abs21972
[1],[6],[2],[15 16],[],[1] ,abs20888
[1],[6],[2],[0],[],[1] ,abs09976
[0],[],[],[],[],[1] ,abs18039
[1],[4 5 6],[],[0],[],[0] ,abs14994
[1],[4 6],[2],[0],[],[0] ,abs08504
[1],[6],[2],[0],[],[1] ,abs14075
[1],[5],[2],[0],[],[0] ,abs16794
[0],[],[],[],[],[1] ,abs14803
[1],[5 6],[],[0],[],[0] ,abs11945
1,[6 7],[],[0],[],[0] ,abs19076
[1],[6],[2],[0],[],[1] ,abs03115
[1],[6],[2],[0],[],[1] ,abs03062
[1],[4 5 6],[1],[0],[1],[0] ,abs11734
[1],[4 5 6],[],[0],[1],[1] ,abs08179
[1],[5 6],[],[0],[],[0] ,abs09807
[0],[],[],[],[1],[1] ,abs13624
1,[4 5],[2],[0],[],[0] ,abs08189
[0],[],[],[],[],[0] ,abs15976
[1],[6 7],[2],[0],[],[1] ,abs04976
[0],[],[],[],[1],[1] ,abs15662
[1],[4 5 6],[],[0],[],[0] ,abs16478
[1],[6],[2],[0],[],[0] ,abs21004
[1],[2],[],[12],[1],[1] ,abs18326
[1],[1 2],[2],[40],[1],[1] ,abs16965
[1],[2],[],[3],[1],[1] ,abs06715
[1],[2 4 5],[1],[18],[],[1] ,abs04060
[1],[5],[1],[0],[1],[1] ,abs11752
[0],[],[],[],[],[0] ,abs04257
[1],[5 6],[],[0],[],[0] ,abs21183
[1],[5 6],[2],[0],[],[0] ,abs16145
[1],[6],[2],[0],[1],[1] ,abs00438
[1],[6],[0],[0],[],[0] ,abs04580
1,6,2,0,1,0 ,abs21930
[1],[2],[2],[18 26 28 33 39],[1],[1] ,abs01645
[1],[6],[1],[0],[1],[1] ,abs17123
[1],[2],[2],[3],[1],[1] ,abs17512
1,4 5,2,0,1,0 ,abs12980
[1],[5 6],[1],[0],[1],[0] ,abs06278
[1],[4 5 6],[2],[0],[1],[1] ,abs12881
[1],[5 6],[1],[0],[1],[0] ,abs02025
[1],[2],[],[],[1],[1] ,abs10664
[1],[6],[2],[0],[],[1] ,abs19007
[1],[6],[1],[0],[1],[0] ,abs09838
[1],[6],[2],[0],[1],[0] ,abs07304
[1],[3],[],[0],[1],[1] ,abs20219
[1],[4 5],[],[0],[1],[0] ,abs07229
[1],[2],[],[],[1],[1] ,abs14247
[1],[6],[2],[0],[],[0] ,abs00886
[1],[4 5],[2],[0],[],[1] ,abs05543
[0],[],[],[],[0],[1] ,abs02890
[0],[],[],[],[1],[1] ,abs17185
[1],[4 5],[],[0],[],[0] ,abs07119
[0],[],[],[],[],[1] ,abs16866
[0],[],[],[],[],[1] ,abs02632
1,4 5,2,0,1,0 ,abs13503
[0],[],[],[],[1],[1] ,abs01945
[1],[6],[],[0],[1],[0] ,abs01047
[1],[6],[1],[0],[],[0] ,abs20883
[0],[],[],[],[],[0] ,abs10801
1,6,2,[],1,1 ,abs10355
[1],[4 5],[],[],[],[1] ,abs16644
[1],[3 6],[],[0],[1],[1] ,abs18947
[1],[5],[1],[0],[],[0] ,abs14851
[1],[6],[2],[0],[1],[1] ,abs04795
1,4 5,2,0,1,1 ,abs08676
[1],[5],[1],[0],[],[0] ,abs20762
[1],[6],[2],[0],[],[1] ,abs02113
[1],[0],[2],[0],[],[1] ,abs19789
[0],[],[],[],[1],[1] ,abs02359
[0],[],[],[],[],[0] ,abs05060
[1],[6],[2],[3],[1],[1] ,abs17459
[1],[4 5],[1],[0],[1],[0] ,abs22116
[1],[4 5],[1],[0],[],[0] ,abs07631
1,5 6,1,0,1,0 ,abs11715
[1],[4 5 6 7],[],[0],[],[0] ,abs11314
[1],[6],[],[0],[1],[1] ,abs04102
[1],[6],[2],[0],[1],[1] ,abs20084
[1],[6],[2],[0],[],[0] ,abs20151
[0],[],[],[],[1],[1] ,abs18524
[1],[3 6],[],[0],[],[1] ,abs20760
[0],[],[],[],[1],[1] ,abs04016
[0],[],[],[],[1],[1] ,abs03910
[0],[],[],[],[1],[1] ,abs02227
[1],[2],[2],[12],[1],[1] ,abs18275
[1],[3],[],[0],[1],[0] ,abs01118
[1],[1 2],[],[10],[],[1] ,abs21939
[1],[6],[2],[0],[],[1] ,abs17803
[1],[4 5],[1],[0],[1],[1] ,abs16085
1,[6 7],[2],[0],[1],[0] ,abs17131
[0],[],[],[],[],[1] ,abs01258
[1],[3],[],[0],[1],[1] ,abs20647
[1],[4 5],[],[0],[],[1] ,abs17977
[1],[6],[],[0],[],[1] ,abs20172
[1],[4 5],[],[0],[1],[1] ,abs05940
[1],[5 6],[1],[0],[1],[0] ,abs05519
[1],[6],[2],[0],[],[0] ,abs21190
[1],[4 5],[2],[0],[],[0] ,abs18093
[1],[5],[1],[0],[1],[1] ,abs11704
[0],[],[],[],[0],[1] ,abs17581
[1],[4 5],[1],[0],[],[0] ,abs15767
[1],[6],[2],[0],[1],[1] ,abs19961
[1],[6],[],[0],[],[0] ,abs07475
[1],[4 5 6 7],[2],[0],[],[0] ,abs11074
[1],[4 5],[2],[0],[],[0] ,abs12462
1,5 6,1,0,1,0 ,abs11638
[1],[6],[2],[0],[],[0] ,abs13287
[1],[4 5 6],[2],[0],[],[0] ,abs06319
[1],[4 5 6],[],[0],[1],[1] ,abs21106
[1],[4 5],[1],[0],[1],[0] ,abs12439
[0],[],[],[],[],[0] ,abs13313
[1],[6],[2],[0],[],[1] ,abs21814
[1],[4 5],[],[0],[],[0] ,abs06193
[1],[0],[2],[0],[1],[1] ,abs20015
[0],[],[],[],[0],[1] ,abs04338
[0],[],[],[],[1],[1] ,abs00389
1,1 2 3,2,0,1,0 ,abs22040
[1],[2],[0],[0],[1],[1] ,abs10430
[1],[6],[2],[0],[1],[0] ,abs08144
[1],[6],[2],[0],[0],[1] ,abs18282
[1],[4 5 6],[2],[0],[],[0] ,abs14644
[1],[4 5 6],[],[0],[],[0] ,abs19294
[1],[0],[2],[0],[1],[1] ,abs10129
1,2,2,3,1,1 ,abs07063
[1],[6],[1],[0],[1],[0] ,abs21544
[1],[1 2],[2],[7],[1],[1] ,abs07088
[1],[5 6],[],[0],[],[0] ,abs05294
[0],[],[],[],[0],[1] ,abs03573
[1],[3 5 6],[],[0],[],[0] ,abs16769
[1],[4 5 6],[],[0],[],[0] ,abs16899
[0],[],[],[],[0],[0] ,abs06747
[1],[6],[1],[3],[],[0] ,abs19009
[1],[5 6],[2],[0],[1],[1] ,abs13398
[0],[],[],[],[1],[1] ,abs01304
[1],[6 7],[2],[0],[],[0] ,abs16039
[1],[6],[],[0],[],[1] ,abs07080
[1],[6],[2],[0],[],[0] ,abs06888
[0],[],[],[],[1],[1] ,abs17405
[1],[2],[2],[26 28 33 39],[1],[1] ,abs00710
[1],[4 5],[],[0],[],[1] ,abs07947
[1],[4 5],[],[0],[],[0] ,abs04804
[1],[6],[2],[0],[],[0] ,abs05825
[0],[],[],[],[],[1] ,abs15846
[0],[],[],[],[],[0] ,abs15563
[1],[4 5],[2],[0],[],[0] ,abs07802
1,[5 6],[2],[0],[1],[0] ,abs11917
[1],[5 6],[],[0],[1],[0] ,abs16928
[1],[1 2],[1],[9 22],[],[0] ,abs11973
1,[5],1,[0],1,1 ,abs11260
[1],[4 5 6],[],[0],[],[0] ,abs16083
[1],[2],[],[0],[],[0] ,abs04021
[0],[],[],[],[],[1] ,abs17316
[1],[2],[],[10],[],[1] ,abs17271
[1],[6],[],[0],[],[0] ,abs06866
[1],[2],[0],[0],[0],[1] ,abs14271
[1],[3],[1],[0],[1],[0] ,abs04305
[1],[1 2 6],[],[23],[],[0] ,abs20427
[1],[4 5],[1],[0],[],[0] ,abs12087
[1],[6],[2],[0],[],[0] ,abs07330
1,1 2,2,7 22,1,1 ,abs14392
[1],[6],[],[0],[],[1] ,abs04132
[1],[5],[1],[0],[1],[0] ,abs14557
[1],[6],[],[0],[],[1] ,abs02185
[1],[4 5],[],[0],[],[0] ,abs17959
[1],[4 5],[],[0],[1],[1] ,abs07503
[1],[5 6],[1],[0],[],[0] ,abs15941
[1],[4 5],[0],[0],[1],[0] ,abs09493
[0],[],[],[],[1],[1] ,abs17762
[1],[4 5],[2],[0],[],[1] ,abs11457
[1],[4 5],[1],[0],[],[0] ,abs07828
[0],[],[],[],[1],[1] ,abs04351
[1],[6],[2],[0],[],[0] ,abs14922
[1],[4 5],[],[0],[],[0] ,abs06111
[0],[],[],[],[0],[1] ,abs04123
[1],[2 3 6],[2],[3],[1],[1] ,abs02936
[0],[],[],[],[1],[1] ,abs14111
[1],[4 5],[],[0],[],[0] ,abs09292
[1],[6],[],[0],[],[0] ,abs05046
[0],[],[],[],[1],[1] ,abs02495
[0],[],[],[],[0],[1] ,abs13725
[1],[6],[1],[0],[],[0] ,abs01807
[1],[6],[0],[0],[],[0] ,abs04246
[1],[5 6],[],[0],[1],[1] ,abs03017
[1],[2 6],[],[13 15 18 22],[1],[1] ,abs04383
[1],[6],[2],[0],[1],[1] ,abs19743
[1],[4 5],[1],[0],[1],[1] ,abs14573
[0],[],[],[],[0],[1] ,abs02871
[0],[],[],[],[1],[1] ,abs12664
[0],[],[],[],[],[1] ,abs18218
[1],[6],[1],[0],[],[0] ,abs12525
1,0,0,[],1,1 ,abs21323
[1],[4 5],[],[0],[],[0] ,abs08743
[1],[6],[2],[0],[1],[1] ,abs09939
[1],[6],[2],[0],[],[0] ,abs15763
[0],[],[],[],[],[0] ,abs07979
[0],[],[],[],[],[1] ,abs12843
[0],[],[],[],[],[1] ,abs05146
[1],[6],[2],[0],[1],[1] ,abs19810
[1],[2 3],[],[],[1],[1] ,abs06981
[1],[2],[],[7],[1],[0] ,abs10135
[1],[6],[],[0],[1],[1] ,abs18628
[1],[4],[],[0],[],[1] ,abs08773
[1],[4 5 6],[],[0],[],[1] ,abs05836
[1],[6],[2],[0],[1],[0] ,abs12738
[1],[6],[2],[0],[1],[1] ,abs13809
[0],[],[],[],[],[0] ,abs09440
[1],[4 5],[],[0],[],[1] ,abs13050
[1],[2],[],[3],[1],[1] ,abs10285
[0],[],[],[],[],[1] ,abs00751
[1],[2],[2],[15],[1],[1] ,abs20361
[1],[4 5 6],[2],[0],[1],[0] ,abs05313
[1],[4 5],[2],[0],[1],[0] ,abs16463
1,2,2,0,1,1 ,abs10601
[1],[4 5 6],[2],[0],[],[0] ,abs17363
[0],[],[],[],[1],[1] ,abs05624
[1],[3 6],[],[0],[1],[1] ,abs18673
[1],[4 5],[1],[0],[],[0] ,abs09458
[1],[3 5 6],[],[15],[],[0] ,abs19754
[0],[],[],[],[],[0] ,abs00687
[0],[],[],[],[],[0] ,abs03419
[1],[6],[1],[0],[1],[1] ,abs07333
[1],[6],[2],[0],[],[1] ,abs09128
[1],[3],[],[0],[1],[1] ,abs02103
1,[6],[],[0],1,0 ,abs19141
[1],[2],[2],[7],[0],[1] ,abs06518
[0],[],[],[],[1],[1] ,abs13685
1,6,2,0,1,1 ,abs19950
[0],[],[],[],[],[1] ,abs00801
[1],[2],[2],[3],[1],[1] ,abs17696
[1],[2],[1],[13],[1],[1] ,abs14839
[0],[],[1],[0],[1],[1] ,abs09244
[1],[5 6 7],[],[0],[],[0] ,abs06223
[1],[4],[2],[0],[1],[1] ,abs19648
[0],[],[],[],[],[1] ,abs10348
[1],[4 6],[2],[0],[],[0] ,abs16196
[1],[6],[2],[0],[],[1] ,abs21842
[0],[],[],[],[0],[1] ,abs18502
1,[4 5],[],[0],1,1 ,abs07850
[0],[],[],[],[1],[1] ,abs10064
[1],[6],[2],[0],[1],[1] ,abs17337
[0],[],[0],[],[0],[0] ,abs08209
[1],[4 5],[],[0],[],[0] ,abs16596
[1],[6],[],[0],[],[1] ,abs04269
[1],[5],[1],[0],[1],[1] ,abs11307
[1],[2 3 6],[1],[5 15 22 32 33 40],[1],[1] ,abs06451
[0],[],[],[],[0],[0] ,abs15132
[1],[4 5],[2],[0],[1],[0] ,abs05790
[1],[6],[],[0],[],[0] ,abs05197
[1],[4 5],[1],[0],[1],[0] ,abs16662
[1],[6 7],[2],[0],[1],[0] ,abs04325
[1],[4 5],[1],[0],[1],[0] ,abs08447
[1],[4 5 6],[2],[0],[],[0] ,abs12374
[0],[],[],[],[],[0] ,abs15873
[0],[],[],[],[1],[1] ,abs04816
[0],[],[],[],[1],[1] ,abs18405
[1],[3],[2],[0],[1],[1] ,abs17224
[0],[],[],[],[],[0] ,abs06417
[1],[4 5 6 7],[2],[0],[1],[0] ,abs15315
[0],[],[],[],[1],[1] ,abs06613
[1],[4 5],[2],[0],[],[0] ,abs19347
[1],[4 5 6],[],[0],[],[0] ,abs06102
[1],[4 5 6],[],[0],[],[0] ,abs05879
[0],[],[],[],[1],[1] ,abs02644
[1],[5 6],[],[0],[],[0] ,abs10819
[1],[2],[],[12],[1],[1] ,abs18319
1,[6],2,[0],1,1 ,abs20006
1,4 5,2,0,1,0 ,abs06134
[1],[3 5],[2],[0],[1],[1] ,abs01465
1,4 5,2,0,1,1 ,abs13512
[0],[],[],[],[1],[1] ,abs13868
[1],[5],[1],[0],[1],[0] ,abs11451
[0],[],[0],[],[0],[0] ,abs18114
1,[3],[2],[0],[1],1 ,abs01585
[0],[],[],[],[],[0] ,abs16686
[1],[1 12],[2],[11],[1],[1] ,abs18300
[1],[2],[],[16 17 22],[1],[1] ,abs00683
[1],[4 5],[1],[0],[],[0] ,abs12451
[1],[6],[2],[0],[],[1] ,abs22214
[1],[4 5 6],[2],[0],[1],[0] ,abs12568
[1],[5],[2],[0],[1],[0] ,abs15783
[1],[6],[],[0],[],[0] ,abs15319
[1],[4 5],[],[0],[],[0] ,abs03046
1,[4 5],[],[0],[],[0] ,abs14528
[0],[],[],[],[1],[1] ,abs14625
[1],[4 5],[],[0],[],[0] ,abs05890
[1],[4 5],[2],[0],[1],[0] ,abs16681
[1],[6],[2],[0],[1],[1] ,abs14206
1,2,2,0,1,1 ,abs14285
[1],[6],[2],[3],[1],[1] ,abs12596
[1],[6],[2],[0],[],[0] ,abs02142
[1],[3],[2],[0],[1],[1] ,abs10028
[0],[],[],[],[],[0] ,abs14859
[0],[],[],[],[],[0] ,abs08943
[1],[6],[],[0],[],[1] ,abs18745
[1],[4 5],[2],[0],[],[0] ,abs21393
[1],[4 5],[],[0],[],[0] ,abs11593
[1],[6],[2],[0],[1],[1] ,abs10170
1,[4 5],[],[0],1,1 ,abs13118
1,4 6,2,0,1,1 ,abs18771
[1],[4 5],[1],[0],[],[0] ,abs15436
[1],[2],[],[0],[],[1] ,abs09933
1,[4 5 6 7],2,[0],1,[0] ,abs15375
[1],[3 6],[1],[0],[],[0] ,abs02457
[0],[],[],[],[0],[1] ,abs18163
[0],[],[],[],[1],[1] ,abs01200
[1],[6 7],[],[0],[],[1] ,abs00016
1,[3 5 6],1,[0],1,1 ,abs16265
[1],[5],[],[0],[],[0] ,abs15635
[1],[2],[],[0],[],[1] ,abs17148
[0],[],[],[],[],[0] ,abs16317
[1],[4 5 6],[1],[0],[1],[0] ,abs11418
[1],[6],[],[0],[],[0] ,abs03278
[0],[],[],[],[1],[1] ,abs01919
1,2,1,8,1,1 ,abs22002
[1],[6 7],[2],[0],[],[0] ,abs09006
[1],[1 2],[2],[3],[1],[1] ,abs02133
[1],[6],[0],[0],[1],[0] ,abs12167
[1],[4 5],[],[0],[],[0] ,abs14771
1,4 5,1,0,1,0 ,abs19024
[1],[6],[],[0],[],[1] ,abs00680
[1],[2],[2],[0],[1],[0] ,abs10488
[1],[4 6],[1],[0],[1],[1] ,abs19806
[1],[5],[1],[16],[1],[1] ,abs11990
[1],[3],[1],[0],[],[0] ,abs08487
[0],[],[],[],[1],[1] ,abs00183
[1],[1 2],[],[5],[],[0] ,abs20365
[1],[1 2],[2],[7],[2],[1] ,abs16726
[1],[5 6],[],[0],[],[0] ,abs07235
[1],[4 5 6],[],[0],[],[0] ,abs08169
[1],[5 6],[],[0],[],[0] ,abs05359
[1],[4 5],[],[25],[],[1] ,abs17986
[0],[],[],[],[],[0] ,abs09480
[1],[1 2],[],[40],[1],[1] ,abs04259
[0],[],[],[],[],[0] ,abs12354
[1],[3 4 5 6 7],[],[3],[],[1] ,abs21065
[1],[6],[],[0],[],[0] ,abs18731
[1],[3 6],[2],[0],[1],[1] ,abs07820
[1],[5 6],[1],[0],[1],[0] ,abs14649
[1],[3 6],[1],[0],[1],[0] ,abs21325
[1],[4 6],[2],[0],[1],[1] ,abs03869
[1],[4 5],[],[0],[1],[1] ,abs21377
1,4 5,2,0,1,1 ,abs11650
[0],[],[],[],[0],[1] ,abs14228
[1],[2],[],[0],[],[1] ,abs21840
[1],[2],[],[0],[],[0] ,abs04885
[1],[4 5],[],[0],[],[0] ,abs07688
[0],[],[],[],[1],[1] ,abs21543
[0],[],[],[],[0],[1] ,abs04554
[1],[3],[2],[0],[1],[1] ,abs03407
[0],[],[],[],[1],[0] ,abs11657
[1],[4 5 6],[],[0],[],[0] ,abs07438
[1],[4 5 6 7],[],[0],[],[0] ,abs05996
[0],[],[],[],[0],[1] ,abs00825
[1],[5 6],[1],[0],[1],[0] ,abs12027
[1],[6],[],[0],[1],[1] ,abs21289
[1],[4 5],[],[0],[],[0] ,abs13064
1,5 6,2,0,1,0 ,abs15006
[1],[4 5],[],[0],[],[0] ,abs02709
1,2 4,2,3,1,1 ,abs10332
[0],[],[2],[0],[0],[1] ,abs02057
[1],[2],[2],[18  22],[1],[1] ,abs22226
[1],[2],[],[0],[],[1] ,abs02041
[1],[4],[1],[3],[1],[1] ,abs21140
[1],[5 6],[2],[0],[],[0] ,abs12886
[1],[2],[],[3],[1],[1] ,abs17637
[0],[],[],[],[],[0] ,abs01639
[1],[4 5 6],[1],[0],[],[0] ,abs06274
[0],[],[],[],[],[0] ,abs04449
1,[5 6],1,[0],1,0 ,abs07612
[1],[2],[],[],[],[1] ,abs22071
[1],[4 5],[],[0],[],[0] ,abs13417
[1],[4 5],[1],[0],[],[0] ,abs08921
[1],[6],[],[0],[],[0] ,abs01991
[0],[],[],[],[1],[1] ,abs10196
[1],[4 5 6],[],[0],[],[0] ,abs08310
[1],[6],[],[0],[],[1] ,abs19624
1,4 5,1,0,1,1 ,abs09559
[1],[5 6],[],[0],[],[0] ,abs09132
[1],[6],[],[0],[1],[1] ,abs01857
1,2,2,0,2,1 ,abs00931
[1],[4 5],[2],[0],[],[0] ,abs05758
[1],[4 5],[],[0],[],[0] ,abs19160
[0],[],[],[],[1],[1] ,abs17059
[1],[4 5 6],[],[0],[],[0] ,abs18828
1,4 5,1,0,1,0 ,abs05848
[0],[],[],[],[1],[1] ,abs01451
[0],[],[],[],[],[1] ,abs11421
[0],[],[],[],[0],[1] ,abs02483
[1],[6],[2],[0],[],[1] ,abs22215
[1],[4 5],[],[0],[],[1] ,abs08980
[1],[6],[2],[0],[],[0] ,abs10776
[0],[],[],[],[1],[1] ,abs00401
